ZOOMA QUERY	MAPPED_TERM_LABEL	MAPPED_TERM_URI	MAPPING_TYPE	ICD10_CODE/SELF_REPORTED_TRAIT_FIELD_CODE	COMMENTS/TICKET	AI
Certain early complications of trauma, not elsewhere classified	complication	EFO_0009518	Broad	T79	DONE	
Adverse effects, not elsewhere classified	No general adverse effects term	EFO_0009658	Exact	T78	DONE	
Foreign body in respiratory tract	foreign body	EFO_0009525	Broad	T17	DONE	
Injury of unspecified body region	injury	EFO_0000546	Exact	T14	DONE	
Open wound of ankle and foot	ankle injury||skin wound	EFO_1002021||EFO_0005756	Broad	S91	DONE	
Other and unspecified injuries of lower leg	injury	EFO_0000546	Broad	S89	DONE	
Injury of muscle and tendon at lower leg level	injury	EFO_0000546	Broad	S86	DONE	
Dislocation, sprain and strain of joints and ligaments of knee	knee injury	EFO_0009507		S83	DONE	
Fracture of lower leg, including ankle	lower extremity fracture	EFO_0009512	Broad	S82	DONE	
Open wound of lower leg	leg injury	EFO_0009508	Broad	S81	DONE	
Superficial injury of lower leg	leg injury	EFO_0009508	Broad	S80	DONE	
Injury of muscle and tendon at hip and thigh level	leg injury	EFO_0009508	Broad	S76	DONE	
Other and unspecified injuries of wrist and hand	injury	EFO_0000546	Broad	S69	DONE	
Traumatic amputation of wrist and hand	amputation	EFO_0009632	Broad	S68	DONE	
Crushing injury of wrist and hand	crush injury	EFO_0009504	Broad	S67	DONE	
Injury of muscle and tendon at wrist and hand level	injury	EFO_0000546	Broad	S66	DONE	
Dislocation, sprain and strain of joints and ligaments at wrist and hand level	dislocation||sprain	EFO_0009521||EFO_0009582	Broad	S63	DONE	
Open wound of wrist and hand	skin wound	EFO_0005756	Broad	S61	DONE	
Superficial injury of wrist and hand	injury	EFO_0000546	Broad	S60	DONE	
Injury of muscle and tendon at forearm level	injury	EFO_0000546	Broad	S56	DONE	
Open wound of forearm	skin wound	EFO_0005756	Broad	S51	DONE	
Injury of muscle and tendon at shoulder and upper arm level	shoulder impingement syndrome	EFO_1001178	Narrow	S46	DONE	
Dislocation, sprain and strain of joints and ligaments of shoulder girdle	dislocation||sprain	EFO_0009521||EFO_0009582	Broad	S43	DONE	
Other and unspecified injuries of abdomen, lower back and pelvis	abdominal injury	EFO_0009502	Broad	S39	DONE	
Open wound of abdomen, lower back and pelvis	abdominal injury	EFO_0009502	Broad	S31	DONE	
Fracture of rib(s), sternum and thoracic spine	rib fracture	EFO_0009620	Narrow	S22	DONE	
Superficial injury of thorax	injury	EFO_0000546	Broad	S20	DONE	
Dislocation, sprain and strain of joints and ligaments at neck level	neck injury	EFO_0009476	Exact	S13	DONE	
Fracture of neck	spinal fracture	EFO_0003902	Broad	S12	DONE	
Other and unspecified injuries of head	head injury	EFO_0009505	Broad	S09	DONE	
Intracranial injury	head injury	EFO_0009505	Broad	S06	DONE	
Injury of eye and orbit	eye injury	EFO_0009485	Broad	S05	DONE	
Open wound of head	head injury	EFO_0009505	Broad	S01	DONE	
Other abnormal products of conception	conception	EFO_0009682	Broad	O02	DONE	
Abnormal findings on diagnostic imaging of lung	abnormality of the lung	HP_0002088	Broad	R91	DONE	
Abnormal findings on diagnostic imaging of central nervous system	morphological abnormality of the central nervous system	HP_0002011	?	R90	DONE	
Other abnormal findings of blood chemistry	abnormal blood homeostasis	HP_0001871	Broad	R79	DONE	
Other abnormal immunological findings in serum	abnormality of the immune system	HP_0002715	Broad	R76	DONE	
Unknown and unspecified causes of morbidity	disease	EFO_0000408	?	R69	DONE	
Other general symptoms and signs	sign or symptom	EFO_0003765	Exact	R68	DONE	
Maternal care for other conditions predominantly related to pregnancy	patient care?	EFO_0009682	Broad	O26	DONE	
Oedema, not elsewhere classified	edema	EFO_0009373	Exact	R60	DONE	
Convulsions, not elsewhere classified	seizures	HP_0001250	Narrow	R56	DONE	
Syncope and collapse	syncope	HP_0001279	Exact	R55	DONE	
Senility	cognitive impairment	HP_0100543	Broad	R54	DONE	
Malaise and fatigue	fatigue||malaise	HP_0012378 | EFO_0009641	Exact	R53	DONE	
Voice disturbances	voice disturbance	EFO_0009692	Exact	R49	DONE	
Speech disturbances, not elsewhere classified	speech apraxia	HP_0011098	Narrow	R47	DONE	
Other symptoms and signs involving cognitive functions and awareness	cognitive impairment	HP_0100543	Broad	R41	DONE	
Somnolence, stupor and coma	coma	HP_0001259	Broad	R40	DONE	
Other symptoms and signs involving the urinary system	abnormality of the urinary system	HP_0000079	Exact	R39	DONE	
Other symptoms and signs involving the nervous and musculoskeletal systems	abnormality of the musculature||abnormality of the skeletal system||abnormality of the nervous system	HP_0003011||HP_0000924||HP_0000707	Broad	R29	DONE	
Other skin changes	abnormality of the skin	HP_0000951	Exact	R23	DONE	
Localised swelling, mass and lump of skin and subcutaneous tissue	lymphedema	Orphanet_79383	?	R22	DONE	
Rash and other nonspecific skin eruption	skin disease	EFO_0000701	Broad	R21	DONE	
Other symptoms and signs involving the digestive system and abdomen	abnormality of the digestive system	HP_0025031	Broad	R19	DONE	
Flatulence and related conditions	flatulence	EFO_0009669	Exact	R14	DONE	
Other symptoms and signs involving the circulatory and respiratory systems	abnormality of the respiratory system||abnormality of the cardiovascular system	HP_0002086||HP_0001626	Broad	R09	DONE	
Pain in throat and chest	pain	EFO_0003843	Broad	R07	DONE	
Other congenital malformations of tongue, mouth and pharynx	rare genetic developmental defect during embryogenesis	Orphanet_183530	Broad	Q38	DONE	
Other congenital malformations of face and neck	rare genetic developmental defect during embryogenesis	Orphanet_183530	Broad	Q18	DONE	
Ectopic pregnancy	ectopic pregnancy	HP_0031456	Exact	O00	DONE	
Maternal care for known or suspected foetal abnormality and damage	fetal disorder? patient care? 	EFO_0009682	Broad	O35	DONE	
Gestational [pregnancy-induced] hypertension without significant proteinuria	preeclampsia||proteinuria	EFO_0000668||HP_0000093	Broad	O13	DONE	
Haemorrhage in early pregnancy	hemorrhage	MP_0001914	Broad	O20	DONE	
Maternal care for other known or suspected foetal problems	fetal disorder? patient care? 	EFO_0009682	Broad	O36	DONE	
Other deforming dorsopathies	-	EFO_0002461	Broad	M43	DONE	
Other inflammatory spondylopathies	-	EFO_0004260	Broad	M46	DONE	
Other disorders of amniotic fluid and membranes	abnormality of the amniotic fluid	HP_0001560	Exact	O41	DONE	
Antepartum haemorrhage, not elsewhere classified	antepartum hemorrhage	HP_0025328	Exact	O46	DONE	
False labour	Braxton-Hicks contraction	EFO:0009639	Exact	O47	DONE	
Prolonged pregnancy	post term pregnancy	EFO_0009681	Exact	O48	DONE	
Obstructed labour due to malposition and malpresentation of foetus	abnormal delivery	HP_0001787	Broad	O64	DONE	
Other obstructed labour	abnormal delivery	HP_0001787	Broad	O66	DONE	
Labour and delivery complicated by foetal stress [distress]	abnormal delivery	HP_0001787	Broad	O68	DONE	
Labour and delivery complicated by umbilical cord complications	abnormal delivery	HP_0001787	Broad	O69	DONE	
Other complications of labour and delivery, not elsewhere classified	abnormal delivery	HP_0001787	Broad	O75	DONE	
Single spontaneous delivery	spontaneous labor and birth	EFO:0009638	Exact	O80	DONE	
Single delivery by Caesarean section	cesarean section	EFO:0009636	Broad	O82	DONE	
Complications of the puerperium, not elsewhere classified	puerperal disorder	EFO_0009683	Exact	O90	DONE	
Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium	pregnancy disorder	EFO_0009682	Exact	O99	DONE	
Recurrent and persistent haematuria	hematuria	HP_0000790	Broad	N02	DONE	
Acute tubulo-interstitial nephritis	nephritis	EFO_1002050	Broad	N10	DONE	
Tubulo-interstitial nephritis, not specified as acute or chronic	nephritis	EFO_1002050	Broad	N12	DONE	
Calculus of lower urinary tract	ureterolithiasis	EFO_1001228	Exact	N21	DONE	
Other disorders of kidney and ureter, not elsewhere classified	urinary system disease	EFO_0009690	Broad	N28	DONE	
Neuromuscular dysfunction of bladder, not elsewhere classified	neurogenic bladder	HP_0000011	Exact	N31	DONE	
Other disorders of urethra	urethral disease	EFO_0009689	Exact	N36	DONE	
Other disorders of urinary system	urinary system disease	EFO_0009690	Exact	N39	DONE	
Hyperplasia of prostate	benign prostatic hyperplasia	EFO_0000284	Exact	N40	DONE	
Other disorders of prostate	prostate disease	EFO_0009602	Exact	N42	DONE	
Other disorders of penis	male reproductive system disease	EFO_0009555	Broad	N48	DONE	
Inflammatory disorders of male genital organs, not elsewhere classified	male reproductive system disease	EFO_0009555	Broad	N49	DONE	
Other disorders of male genital organs	male reproductive system disease	EFO_0009555	Broad	N50	DONE	
Inflammatory disorders of breast	mastitis	EFO_1001034	Broad	N61	DONE	
Other disorders of breast	breast disease	EFO_0009483	Exact	N64	DONE	
Other female pelvic inflammatory diseases	pelvic inflammatory disease	EFO_1001388	Broad	N73	DONE	
Other noninflammatory disorders of uterus, except cervix	female reproductive system disease	EFO_0009549	Broad	N85	DONE	
Erosion and ectropion of cervix uteri	cervix erosion	EFO_1000862	Exact	N86	DONE	
Other noninflammatory disorders of cervix uteri	female reproductive system disease	EFO_0009549	Broad	N88	DONE	
Other noninflammatory disorders of vagina	female reproductive system disease	EFO_0009549	Broad	N89	DONE	
Other noninflammatory disorders of vulva and perineum	female reproductive system disease	EFO_0009549	Broad	N90	DONE	
Excessive, frequent and irregular menstruation	menorrhagia	HP_0000132	Broad	N92	DONE	
Other abnormal uterine and vaginal bleeding	metrorrhagia	HP_0100608	Exact	N93	DONE	
Menopausal and other perimenopausal disorders	menopause	EFO_0003922	Broad	N95	DONE	
Postprocedural disorders of genito-urinary system, not elsewhere classified	disease of genitourinary system	EFO_0009663	Broad	N99	DONE	
Other arthrosis	osteoarthritis	EFO_0002506	Exact	M19	DONE	
Acquired deformities of fingers and toes	congenital deformities of fingers	Orphanet_294947	Broad	M20	DONE	
Other acquired deformities of limbs	congenital deformities of limbs	Orphanet_294944	Exact	M21	DONE	
Disorders of patella	abnormality of the patella	EFO_0009665	Exact	M22	DONE	
Other specific joint derangements	joint disease	EFO_1000999	Broad	M24	DONE	
Other systemic involvement of connective tissue	connective tissue disease	EFO_1001986	Broad	M35	DONE	
Other spondylopathies	-	EFO_0004260	Broad	M48	DONE	
Other dorsopathies, not elsewhere classified	-	EFO_0009676	Broad	M53	DONE	
Other spondylopathies	spondyloarthropathy	EFO_0004260	Broad	M48	DONE	
Other intervertebral disk disorders	discitis	EFO_1000900	Narrow	M51	DONE	
Other dorsopathies, not elsewhere classified	back pain	EFO_0009676	Broad	M53	DONE	
Other disorders of muscle	muscular disease	EFO_0002970	Exact	M62	DONE	
Spontaneous rupture of synovium and tendon	tendon rupture	HP_0100550	Broad	M66	DONE	
Other disorders of synovium and tendon	tenosynovitis	EFO_1001435	Exact	M67	DONE	
Other bursopathies	joint disease	EFO_1000999	Broad	M71	DONE	
Enthesopathies of lower limb, excluding foot	enthesopathy	EFO_0009666	Broad	M76	DONE	
Other enthesopathies	enthesopathy	EFO_0009666	Exact	M77	DONE	
Other soft tissue disorders, not elsewhere classified	soft tissue disease	EFO_0009470	Exact	M79	DONE	
Osteoporosis with pathological fracture	osteoporosis	EFO_0003882	Broad	M80	DONE	
Disorders of continuity of bone	bone disease	EFO_0004260	Broad	M84	DONE	
Other disorders of bone density and structure	bone density	EFO_0003923	Broad	M85	DONE	
Other disorders of bone	bone disease	EFO_0004260	Exact	M89	DONE	
Other disorders of cartilage	cartilage disease	EFO_0005802	Exact	M94	DONE	
Other acquired deformities of musculoskeletal system and connective tissue	musculoskeletal system disease | connective tissue disease	EFO_0009676 | EFO_1001986	Exact	M95	DONE	
Postprocedural musculoskeletal disorders, not elsewhere classified	musculoskeletal system disease	EFO_0009676	Broad	M96	DONE	
Dermatitis due to substances taken internally	dermatitis due to unspecified substance taken internally	HP_0000964	Broad	L27	DONE	
Other dermatitis	skin disease	EFO_0000701	Broad	L30	DONE	
Other erythematous conditions	skin disease	EFO_0000701	Broad	L53	DONE	
Nail disorders	genetic nail anomaly	Orphanet_183454	Narrow	L60	DONE	
Other follicular disorders	folliculitis	EFO_1000702	Narrow	L73	DONE	
Other epidermal thickening	epidermal thickening	HP_0011368	Exact	L85	DONE	
Embedded and impacted teeth	impacted tooth	HP_0011079	Exact	K01	DONE	
Gingivitis and periodontal diseases	periodontitis	EFO_0000649	Broad	K05	DONE	
Other disorders of gingiva and edentulous alveolar ridge	gingival disease	EFO_0009670	Narrow	K06	DONE	
Other disorders of teeth and supporting structures	tooth disease	EFO_1001216	Exact	K08	DONE	
Cysts of oral region, not elsewhere classified	mouth neoplasm	EFO_0003868	Broad	K09	DONE	
Stomatitis and related lesions	stomatitis	EFO_0009688	Exact	K12	DONE	
Other diseases of lip and oral mucosa	mouth disease	EFO_1001047	Broad	K13	DONE	
Diseases of tongue	mouth disease	EFO_1001047	Broad	K14	DONE	
Other diseases of stomach and duodenum	digestive system disease	EFO_0000405	Broad	K31	DONE	
Other non-infective gastro-enteritis and colitis	gastroenteritis	EFO_1001463	Broad	K52	DONE	
Paralytic ileus and intestinal obstruction without hernia	gastrointestinal obstruction	HP_0004796	Broad	K56	DONE	
Fissure and fistula of anal and rectal regions	anal fistula	HP_0012390	Narrow	K60	DONE	
Other diseases of anus and rectum	anus disease||rectal disease	EFO_0009660 | EFO_0009685	Exact	K62	DONE	
Other inflammatory liver diseases	liver disease	EFO_0001421	Broad	K75	DONE	
Other diseases of pancreas	pancreas disease	EFO_0009605	Exact	K86	DONE	
Postprocedural disorders of digestive system, not elsewhere classified	digestive system disease	EFO_0000405	Broad	K91	DONE	
Other diseases of digestive system	digestive system disease	EFO_0000405	Exact	K92	DONE	
Acute pharyngitis	pharyngitis	EFO_0009657	Exact	J02	DONE	
Acute tonsillitis	tonsillitis	HP_0011110	Broad	J03	DONE	
Acute upper respiratory infections of multiple and unspecified sites	respiratory system disease	EFO_0000684	Broad	J06	DONE	
Chronic rhinitis, nasopharyngitis and pharyngitis	rhinitis	EFO_0008521	Broad	J31	DONE	
Other disorders of nose and nasal sinuses	respiratory system disease	EFO_0000684	Broad	J34	DONE	
Chronic diseases of tonsils and adenoids	lympathic system disease	EFO_0007352	Broad	J35	DONE	
Diseases of vocal cords and larynx, not elsewhere classified	laryngeal disease	EFO_0009673	Exact	J38	DONE	
Other diseases of upper respiratory tract	respiratory system disease	EFO_0000684	Broad	J39	DONE	
Bronchitis, not specified as acute or chronic	bronchitis	EFO_0009661	Exact	J40	DONE	
Pyothorax	pleural empyema	EFO_0009680	Exact	J86	DONE	
Pleural effusion, not elsewhere classified	pleural effusion	EFO:0009637	Exact	J90	DONE	
Respiratory failure, not elsewhere classified	respiratory failure	EFO_0009686	Exact	J96	DONE	
Rheumatic mitral valve diseases	mitral valve disease	EFO_0009557	Broad	I05	DONE	
Other diseases of pericardium	pericarditis	EFO_0007427	Exact	I31	DONE	
Acute and subacute endocarditis	endocarditis	EFO_0000465	Broad	I33	DONE	
Atrioventricular and left bundle-branch block	bundle branch block	EFO_0004138	Broad	I44	DONE	
Other conduction disorders	conduction system disease	EFO_0005137	Exact	I45	DONE	
Other cardiac arrhythmias	cardiac arrythmia	EFO_0004269	Exact	I49	DONE	
Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction	occlusion precerebral artery	EFO_0009677	Exact	I65	DONE	
Other disorders of arteries and arterioles	vascular disease	EFO_0004264	Broad	I77	DONE	
Diseases of capillaries	vascular disease	EFO_0004264	Broad	I78	DONE	
Other venous embolism and thrombosis	venous thromboembolism	EFO_0004286	Exact	I82	DONE	
Other disorders of veins	vascular disease	EFO_0004264	Broad	I87	DONE	
Other non-infective disorders of lymphatic vessels and lymph nodes	lymphatic system disease	EFO_0007352	Exact	I89	DONE	
Other disorders of eyelid	eyelid disease	EFO_0009547	Exact	H02	DONE	
Disorders of orbit	disease of orbital region	EFO_0009664	Exact	H05	DONE	
Other disorders of conjunctiva	conjunctival disorder	EFO_1000203	Exact	H11	DONE	
Other disorders of lens	lens disease	EFO_0009674	Exact	H27	DONE	
Paralytic strabismus	paralytic strabismus	EFO_0009678	Exact	H49	DONE	
Other strabismus	strabismus	HP_0000486	Exact	H50	DONE	
Other disorders of eye and adnexa	eye adnexa disease	EFO_0009546	Exact	H57	DONE	
Postprocedural disorders of eye and adnexa, not elsewhere classified	eye adnexa disease	EFO_0009546	Broad	H59	DONE	
Other disorders of external ear	external ear disease	EFO_0009668	Exact	H61	DONE	
Nonsuppurative otitis media	non-suppurative otitis media	EFO_0007415	Narrow	H65	DONE	
Other disorders of Eustachian tube	eustachian tube disease	EFO_0009667	Exact	H69	DONE	
Disorders of vestibular function	vestibular disease	EFO_0009691	Exact	H81	DONE	
Other diseases of inner ear	inner ear disease	EFO_0009672	Exact	H83	DONE	
Otalgia and effusion of ear	ear pain||otitis media with effusion	HP_0030766 | EFO_0007415	Exact	H92	DONE	
Other disorders of ear, not elsewhere classified	auditory system disease	EFO_1001455	Exact	H93	DONE	
Other demyelinating diseases of central nervous system	CNS demyelinating autoimmune disease	EFO_1000870	Narrow?	G37	DONE	
Other mononeuropathies	mononeuropathy	EFO_0009558	Exact	G58	DONE	
Other polyneuropathies	polyneuropathy	EFO_0009562	Exact	G62	DONE	
Paraplegia and tetraplegia	paraplegia	EFO_0009679 | EFO_0009684	Exact	G82	DONE	
Other disorders of brain	brain disease	EFO_0005774	Exact	G93	DONE	
Other diseases of spinal cord	spinal cord disease	EFO_0009488	Exact	G95	DONE	
Somatoform disorders	somatoform disorder	EFO_0009687	Exact	F45	DONE	
Other non-toxic goitre	goiter	EFO_0004283	Broad	E04	DONE	
Thyrotoxicosis [hyperthyroidism]	hyperthyroidism	EFO_0009189	Exact	E05	DONE	
Other disorders of pancreatic internal secretion	pancreas disease	EFO_0009605	Broad	E16	DONE	
Other disorders of fluid, electrolyte and acid-base balance	abnormality of metabolism/homeostasis	HP_0001939	Exact	E87	DONE	
Carcinoma in situ of other and unspecified genital organs	urogenital neoplasm	EFO_0003863	Broad	D07	DONE	
Carcinoma in situ of other and unspecified sites	carcinoma	EFO_0000313	Broad	D09	DONE	
Benign neoplasm of other and ill-defined parts of digestive system	digestive system neoplasm	EFO_0008549	Broad	D13	DONE	
Benign neoplasm of middle ear and respiratory system	respiratory system neoplasm	EFO_0003853	Broad	D14	DONE	
Benign neoplasm of bone and articular cartilage	bone neoplasm	EFO_0003820	Broad	D16	DONE	
Benign lipomatous neoplasm	lipoma	EFO_0000759	Exact	D17	DONE	
Other benign neoplasms of connective and other soft tissue	soft tissue neoplasm	EFO_1000541	Broad	D21	DONE	
Melanocytic naevi	Melanocytic nevus	EFO_0009675	Exact	D22	DONE	
Other benign neoplasms of skin	skin neoplasm	EFO_0004198	Broad	D23	DONE	
Benign neoplasm of urinary organs	urogenital neoplasm	EFO_0003863	Broad	D30	DONE	
Benign neoplasm of meninges	benign brain neoplasm	EFO_1000107	Broad	D32	DONE	
Benign neoplasm of other and unspecified endocrine glands	endocrine neoplasm	EFO_0003769	Exact	D35	DONE	
Benign neoplasm of other and unspecified sites	benign neoplasm	EFO_0002422	Exact	D36	DONE	
Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs	digestive system neoplasm	EFO_0008549	Exact	D37	DONE	
Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs	respiratory system neoplasm	EFO_0003853	Broad	D38	DONE	
Neoplasm of uncertain or unknown behaviour of urinary organs	urogenital neoplasm	EFO_0003863	Broad	D41	DONE	
Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue	lymphoid neoplasm||common hematopoietic neoplasm	EFO_0001642||EFO_1000201	Exact	D47	DONE	
Neoplasm of uncertain or unknown behaviour of other and unspecified sites	neoplasm	EFO_0000616	Broad	D48	DONE	
Other aplastic anaemias	aplastic anemia	HP_0001915	Exact	D61	DONE	
Other diseases of blood and blood-forming organs	hematologic disease	EFO_0005803	Exact	D75	DONE	
Other disorders involving the immune mechanism, not elsewhere classified	immune system disease	EFO_0000540	Exact	D89	DONE	
Other malignant neoplasms of skin	skin neoplasm	EFO_0004198	Broad	C44	DONE	
Malignant neoplasm of other connective and soft tissue	soft tissue neoplasm	EFO_1000541	Broad	C49	DONE	
Secondary malignant neoplasm of respiratory and digestive organs	respiratory system neoplasm||digestive system neoplasm	EFO_0009812	Broad	C78	DONE	
Secondary malignant neoplasm of other sites	neoplasm	EFO_0009812	Broad	C79	DONE	
Malignant neoplasm without specification of site	cancer	EFO_0000311	Broad	C80	DONE	
Other and unspecified types of non-Hodgkin's lymphoma	non-Hodgkins lymphoma	EFO_0005952	Exact	C85	DONE	
Candidiasis	Candidiasis, Invasive	EFO_1001283	Narrow	B37	DONE	
Other bacterial intestinal infections	intestinal disease||bacterial disease	EFO_0009431||EFO_0000771	Broad	A04	DONE	
Viral and other specified intestinal infections	intestinal disease||viral disease	EFO_0009431||EFO_0000763	Broad	A08	DONE	
Other predominantly sexually transmitted diseases, not elsewhere classified	bacterial sexually transmitted disease	EFO_0003955	Narrow	A63	DONE	
Other disorders of adrenal gland	adrenal gland disease	EFO_0005539	Exact	E27	DONE	
